City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
273,Mecca,SA,21.4267,39.8261,69.49,53,14,1.28,few clouds
274,Tazovskiy,RU,67.4667,78.7,-42.7,78,0,1.14,clear sky
275,Raga,SS,8.4596,25.678,64.15,28,97,3.98,overcast clouds
276,Manicore,BR,-5.8092,-61.3003,77.0,94,40,3.44,scattered clouds
277,Colares,PT,38.7992,-9.4469,55.99,100,100,13.65,overcast clouds
278,Arman,RU,59.7,150.1667,-10.82,80,98,10.0,overcast clouds
279,Aksu,CN,41.1231,80.2644,26.87,76,0,4.29,clear sky
280,Dunedin,NZ,-45.8742,170.5036,68.0,62,74,4.0,broken clouds
281,Kushima,JP,31.4583,131.2333,60.8,82,75,21.85,broken clouds
282,Yar-Sale,RU,66.8333,70.8333,-39.28,81,13,3.33,few clouds
283,Luanda,AO,-8.8368,13.2343,75.2,88,20,3.44,few clouds
284,Ponta Delgada,PT,37.7333,-25.6667,62.6,94,75,24.16,light rain
285,San Cristobal,VE,7.7669,-72.225,65.37,81,75,2.35,broken clouds
286,Miri,MY,4.4148,114.0089,84.2,79,40,6.91,scattered clouds
287,Leshukonskoye,RU,64.8989,45.7622,2.3,93,99,7.81,overcast clouds
288,Kulhudhuffushi,MV,6.6221,73.07,82.02,72,9,9.19,clear sky
289,Clyde River,CA,70.4692,-68.5914,-4.0,84,1,2.3,clear sky
290,Port Said,EG,31.2565,32.2841,51.8,93,0,2.3,clear sky
291,Kieta,PG,-6.2167,155.6333,85.37,58,19,7.81,few clouds
292,Ladozhskaya,RU,45.3081,39.935,35.01,93,0,4.47,clear sky
293,Labuan,MY,5.2767,115.2417,86.0,74,20,4.61,few clouds
294,Monchegorsk,RU,67.9397,32.8739,0.37,92,100,1.97,light snow
295,Byron Bay,AU,-28.65,153.6167,82.4,65,40,14.97,scattered clouds
296,Vao,NC,-22.6667,167.4833,75.69,80,100,24.38,overcast clouds
297,Itarema,BR,-2.9248,-39.9167,80.22,77,100,9.26,overcast clouds
298,Ponca City,US,36.707,-97.0856,48.2,71,90,10.36,overcast clouds
299,Zyryanovsk,KZ,49.7386,84.2719,5.79,93,100,1.36,light snow
300,Suntar,RU,62.1444,117.6319,-42.23,78,37,4.72,scattered clouds
301,Galt,US,38.2546,-121.3,46.0,86,0,3.06,clear sky
302,Borogontsy,RU,62.6683,131.1683,-50.13,74,100,4.88,overcast clouds
303,Fairbanks,US,64.8378,-147.7164,19.99,78,75,3.22,broken clouds
304,Qaqortoq,GL,60.7167,-46.0333,28.4,29,0,25.32,clear sky
305,Christchurch,NZ,-43.5333,172.6333,77.0,33,100,8.05,moderate rain
306,Sitka,US,57.0531,-135.33,35.6,93,90,5.75,mist
307,Havelock,US,34.8791,-76.9013,37.0,55,1,5.75,clear sky
308,Okhotsk,RU,59.3833,143.3,-10.28,81,100,10.45,overcast clouds
309,Standerton,ZA,-26.9337,29.2415,62.01,94,89,4.0,overcast clouds
310,Naron,ES,43.5167,-8.1528,51.01,93,75,8.05,broken clouds
311,Feltre,IT,46.0235,11.907,34.0,99,65,4.23,broken clouds
312,Lesnoye,RU,58.2841,35.5158,33.6,98,100,7.43,overcast clouds
313,Milkovo,RU,54.7167,158.6167,1.38,89,3,0.58,clear sky
314,Mahibadhoo,MV,3.7833,72.9667,83.26,68,67,9.51,broken clouds
315,Gori,GE,41.9842,44.1158,28.85,72,0,5.08,clear sky
316,San Quintin,MX,30.4833,-115.95,54.72,78,50,15.55,scattered clouds
317,Khirkiya,IN,22.1674,76.8605,73.47,28,0,3.56,clear sky
318,Praia,CV,14.9215,-23.5087,69.8,83,0,17.27,clear sky
319,Shubarkuduk,KZ,49.1447,56.4872,16.97,97,98,10.74,light snow
320,Portland,US,45.5234,-122.6762,42.01,74,83,1.01,broken clouds
321,Manggar,ID,-2.8833,108.2667,84.27,71,100,8.43,light rain
322,Akyab,MM,20.15,92.9,71.55,42,0,3.2,clear sky
323,Rothrist,CH,47.3051,7.892,33.01,86,100,4.25,overcast clouds
324,Pimentel,PE,-6.8367,-79.9342,71.55,80,99,12.57,overcast clouds
325,Vysokopillya,UA,47.4919,33.5306,42.8,81,0,13.42,clear sky
326,Ayan,RU,56.45,138.1667,-18.74,71,32,14.7,scattered clouds
327,Sena Madureira,BR,-9.0656,-68.6569,72.14,97,99,2.51,light rain
328,Marktredwitz,DE,50.005,12.0811,28.99,97,96,3.0,snow
329,Skelleftea,SE,64.7507,20.9528,10.4,85,90,5.75,overcast clouds
330,Half Moon Bay,US,37.4636,-122.4286,48.2,81,20,5.75,few clouds
331,Udachnyy,RU,66.4167,112.4,-37.62,79,52,3.36,broken clouds
332,Carnduff,CA,49.1667,-101.8009,-11.99,82,4,9.24,clear sky
333,Alta Floresta,BR,-9.8756,-56.0861,71.49,94,98,1.1,light rain
334,Cotonou,BJ,6.3654,2.4183,78.12,87,98,7.09,overcast clouds
335,Sesimbra,PT,38.4445,-9.1015,55.0,70,100,9.4,overcast clouds
336,Vilcun,CL,-38.65,-72.2333,55.4,100,75,2.3,broken clouds
337,Nuevo Progreso,MX,23.1667,-97.95,73.99,66,100,1.01,overcast clouds
338,Cape Girardeau,US,37.3834,-89.7168,41.0,38,90,10.36,overcast clouds
339,Kavaratti,IN,10.5669,72.642,81.32,73,60,10.67,broken clouds
340,Berlevag,NO,70.8578,29.0864,19.02,94,98,24.85,light snow
341,Atambua,ID,-9.1061,124.8925,81.01,76,99,6.76,moderate rain
342,Tucurui,BR,-3.7661,-49.6725,72.64,96,10,3.65,clear sky
343,Waddan,LY,29.1614,16.139,50.49,46,0,4.68,clear sky
344,Talnakh,RU,69.4865,88.3972,-35.84,64,45,2.17,scattered clouds
