City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
239,Quatre Cocos,MU,2021-01-21 23:41:31,-20.2078,57.7625,78.01,83,40,8.97
240,Tessalit,ML,2021-01-21 23:41:31,20.1986,1.0114,60.15,28,0,12.33
241,Shimoda,JP,2021-01-21 23:41:31,34.6667,138.95,50.0,71,20,2.3
242,Mogzon,RU,2021-01-21 23:41:31,51.7435,111.9606,-3.86,89,99,0.4
243,Ahipara,NZ,2021-01-21 23:41:32,-35.1667,173.1667,66.88,58,18,9.98
244,Sitka,US,2021-01-21 23:41:32,57.0531,-135.33,39.2,87,75,8.05
245,Celle,DE,2021-01-21 23:41:32,52.6226,10.0805,46.0,87,100,11.5
246,Sola,VU,2021-01-21 23:41:32,-13.8833,167.55,81.97,79,100,12.55
247,Aligudarz,IR,2021-01-21 23:41:32,33.4006,49.6949,19.69,92,1,1.83
248,Makamba,BI,2021-01-21 23:41:32,-4.1348,29.804,62.44,92,100,2.55
249,Mokshan,RU,2021-01-21 23:41:33,53.4365,44.6132,14.0,57,100,8.19
250,Lugovoy,KZ,2021-01-21 23:41:33,42.9472,72.7644,30.99,95,100,7.7
251,Ostrovnoy,RU,2021-01-21 23:41:33,68.0531,39.5131,1.72,91,100,7.87
252,Oranjemund,NA,2021-01-21 23:41:33,-28.55,16.4333,67.69,75,55,4.14
253,Maragogi,BR,2021-01-21 23:41:33,-9.0122,-35.2225,77.18,82,100,8.88
254,Gat,IL,2021-01-21 23:41:33,31.61,34.7642,46.99,79,0,1.01
255,Torbay,CA,2021-01-21 23:41:34,47.6666,-52.7314,30.99,100,90,29.93
256,Zhigansk,RU,2021-01-21 23:41:34,66.7697,123.3711,-39.14,80,100,6.33
257,Tuktoyaktuk,CA,2021-01-21 23:41:34,69.4541,-133.0374,-7.6,77,90,14.97
258,Leningradskiy,RU,2021-01-21 23:41:34,69.3833,178.4167,-13.41,87,100,8.41
259,Strelka,RU,2021-01-21 23:41:34,58.0728,93.0344,-12.37,88,100,8.25
260,Palmer,US,2021-01-21 23:41:34,42.1584,-72.3287,30.0,70,47,4.56
261,Qaqortoq,GL,2021-01-21 23:41:34,60.7167,-46.0333,23.0,54,20,6.91
262,Waipawa,NZ,2021-01-21 23:41:35,-41.4122,175.5153,68.0,52,20,14.97
263,Lata,PT,2021-01-21 23:41:35,40.1629,-8.3327,60.01,88,100,5.99
264,Beira,MZ,2021-01-21 23:41:35,-19.8436,34.8389,80.6,78,40,14.97
265,Paragominas,BR,2021-01-21 23:41:35,-2.9667,-47.4833,72.82,98,100,2.46
266,Komsomolskiy,UZ,2021-01-21 23:41:35,40.4272,71.7189,37.4,81,100,4.61
267,Yakovlevka,RU,2021-01-21 23:41:35,44.425,133.4772,4.32,91,90,2.04
268,Lazurne,UA,2021-01-21 23:41:36,46.084,32.5295,44.49,90,0,16.6
269,Asifabad,IN,2021-01-21 23:41:36,19.3667,79.2833,63.99,38,0,3.49
270,Hamilton,US,2021-01-21 23:36:48,39.1834,-84.5333,46.4,39,1,10.36
271,Bambous Virieux,MU,2021-01-21 23:41:36,-20.3428,57.7575,78.01,83,40,9.33
272,Horta,PT,2021-01-21 23:41:36,38.5333,-28.6333,58.41,69,96,6.44
273,Comodoro Rivadavia,AR,2021-01-21 23:41:36,-45.8667,-67.5,86.0,28,0,16.11
274,Beloha,MG,2021-01-21 23:37:24,-25.1667,45.05,78.55,85,34,7.99
275,Neiafu,TO,2021-01-21 23:41:37,-18.65,-173.9833,78.8,89,75,5.75
276,Karpathos,GR,2021-01-21 23:41:37,35.507,27.2132,55.4,67,11,3.44
277,Namatanai,PG,2021-01-21 23:41:37,-3.6667,152.4333,83.66,60,86,7.78
278,Coahuayana,MX,2021-01-21 23:41:37,18.7333,-103.6833,86.0,48,40,2.93
279,Orcopampa,PE,2021-01-21 23:41:37,-15.2661,-72.3417,45.37,72,99,4.9
280,Kitgum,UG,2021-01-21 23:41:37,3.2783,32.8867,74.43,40,100,3.38
281,Narasannapeta,IN,2021-01-21 23:41:38,18.4167,84.05,68.2,89,0,3.51
282,Pacific Grove,US,2021-01-21 23:41:38,36.6177,-121.9166,55.4,71,1,8.05
283,Bambari,CF,2021-01-21 23:41:38,5.768,20.6757,72.59,25,47,4.97
284,Villarrica,PY,2021-01-21 23:41:38,-25.75,-56.4333,74.8,95,50,3.13
285,Christiana,ZA,2021-01-21 23:41:38,-27.914,25.1611,75.34,45,20,2.71
286,Birin,NP,2021-01-21 23:41:38,26.8865,88.0718,41.9,93,1,3.53
287,Ust-Nera,RU,2021-01-21 23:41:39,64.5667,143.2,-30.73,74,50,1.9
288,Falam,MM,2021-01-21 23:41:39,22.9167,93.6833,42.82,98,41,0.72
289,Devonport,AU,2021-01-21 23:41:39,-41.1667,146.35,68.0,62,100,1.99
290,Tiarei,PF,2021-01-21 23:41:39,-17.5333,-149.3333,86.0,62,75,11.5
291,Mirnyy,RU,2021-01-21 23:41:39,62.5353,113.9611,-48.62,78,99,1.59
